#,CraftType,RecipeLevelTable,Item{Result},Amount{Result},Item{Ingredient}[0],Amount{Ingredient}[0],Item{Ingredient}[1],Amount{Ingredient}[1],Item{Ingredient}[2],Amount{Ingredient}[2],Item{Ingredient}[3],Amount{Ingredient}[3],Item{Ingredient}[4],Amount{Ingredient}[4],Item{Ingredient}[5],Amount{Ingredient}[5],Item{Ingredient}[6],Amount{Ingredient}[6],Item{Ingredient}[7],Amount{Ingredient}[7],Item{Ingredient}[8],Amount{Ingredient}[8],Item{Ingredient}[9],Amount{Ingredient}[9],CanQuickSynth,CanHq
1,1,1,5056,1,5106,2,5107,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-1,0,True,True
2,1,1,2546,1,5056,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
3,1,2,1602,1,5056,1,5361,1,5432,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
4,1,2,2355,1,5056,2,5275,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
5,1,3,5091,1,5056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-1,0,True,True
6,1,3,1750,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
7,1,3,2380,1,5056,1,5091,1,5482,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
8,1,4,2430,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
9,1,4,2315,1,5056,1,5091,1,5361,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
10,1,5,2328,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
11,1,5,2341,1,5056,1,5324,1,5361,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
12,1,5,2367,1,5056,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
13,1,6,2507,1,5056,1,5361,1,5258,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
14,1,6,2481,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
15,1,7,1603,1,5056,1,5275,1,5432,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
16,1,7,2392,1,5056,1,5091,1,5361,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
17,1,7,1751,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
18,1,8,2520,1,5056,1,5324,1,5361,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
19,1,8,2417,1,5056,1,5361,1,5258,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
20,1,9,1752,1,1750,1,5056,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,False,True
21,1,9,2329,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
22,1,10,2356,1,5056,2,5276,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
23,1,10,2381,1,5056,1,5091,1,4856,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
24,1,10,2482,1,5056,2,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
25,1,10,2342,1,5056,1,5324,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
26,1,10,2393,1,5056,1,5091,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
27,1,11,2431,1,5056,1,5364,1,5483,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
28,1,11,2560,1,5056,1,5364,1,5258,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
29,1,11,2368,1,5056,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
30,1,11,2521,1,5056,1,5324,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
31,1,11,2418,1,5056,1,5364,1,5258,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
32,1,12,2508,1,5056,1,5364,1,5258,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
33,1,12,2534,1,5056,1,5364,1,5503,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
34,1,12,2316,1,5056,1,5091,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
35,1,12,2547,1,5056,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
36,1,12,2394,1,2393,1,5091,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,False,True
37,1,13,1684,1,5056,2,5276,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
38,1,13,1605,1,5056,1,5276,1,5434,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
39,1,14,1753,1,5056,3,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,True,True
